EG_PCR_50.01	Grosser Winterleitensee C EG23_C												
Primer plate 1		1	2	3	4	5	6	7	8	9	10	11	12
	A	EG23_C_CN006	EG23_C_111	EG23_C_051	EG23_C_147	EG23_C_099	EG23_C_C002	EG23_C_363	EG23_C_243	EG23_C_327	EG23_C_291	EG23_C_387	
	B	EG23_C_CN007	EG23_C_123	EG23_C_087	EG23_C_075	EG23_C_183	EG23_C_339	EG23_C_315	EG23_C_207	EG23_C_435	EG23_C_399	EG23_C_423	
	C	EG23_C_027	EG23_C_195	EG23_C_171	EG23_C_447	EG23_C_159	EG23_C_231	EG23_C_303	EG23_C_411	EG23_C_C001	EG23_C_267	EG23_C_351	
	D	EG23_C_039	EG23_C_063	EG23_C_CN005	EG23_C_135	EG23_C_459	EG23_C_255	EG23_C_279	EG23_C_219	EG23_C_375			EG23_C_CP008
	E	EG23_C_CN006	EG23_C_111	EG23_C_051	EG23_C_147	EG23_C_099	EG23_C_C002	EG23_C_363	EG23_C_243	EG23_C_327	EG23_C_291	EG23_C_387	
	F	EG23_C_CN007	EG23_C_123	EG23_C_087	EG23_C_075	EG23_C_183	EG23_C_339	EG23_C_315	EG23_C_207	EG23_C_435	EG23_C_399	EG23_C_423	
	G	EG23_C_027	EG23_C_195	EG23_C_171	EG23_C_447	EG23_C_159	EG23_C_231	EG23_C_303	EG23_C_411	EG23_C_C001	EG23_C_267	EG23_C_351	
	H	EG23_C_039	EG23_C_063	EG23_C_CN005	EG23_C_135	EG23_C_459	EG23_C_255	EG23_C_279	EG23_C_219	EG23_C_375			EG23_C_CP008
													
EG_PCR_50.02													
Primer plate 2		1	2	3	4	5	6	7	8	9	10	11	12
	A	EG23_C_CN006	EG23_C_111	EG23_C_051	EG23_C_147	EG23_C_099	EG23_C_C002	EG23_C_363	EG23_C_243	EG23_C_327	EG23_C_291	EG23_C_387	
	B	EG23_C_CN007	EG23_C_123	EG23_C_087	EG23_C_075	EG23_C_183	EG23_C_339	EG23_C_315	EG23_C_207	EG23_C_435	EG23_C_399	EG23_C_423	
	C	EG23_C_027	EG23_C_195	EG23_C_171	EG23_C_447	EG23_C_159	EG23_C_231	EG23_C_303	EG23_C_411	EG23_C_C001	EG23_C_267	EG23_C_351	
	D	EG23_C_039	EG23_C_063	EG23_C_CN005	EG23_C_135	EG23_C_459	EG23_C_255	EG23_C_279	EG23_C_219	EG23_C_375			EG23_C_CP008
	E	EG23_C_CN006	EG23_C_111	EG23_C_051	EG23_C_147	EG23_C_099	EG23_C_C002	EG23_C_363	EG23_C_243	EG23_C_327	EG23_C_291	EG23_C_387	
	F	EG23_C_CN007	EG23_C_123	EG23_C_087	EG23_C_075	EG23_C_183	EG23_C_339	EG23_C_315	EG23_C_207	EG23_C_435	EG23_C_399	EG23_C_423	
	G	EG23_C_027	EG23_C_195	EG23_C_171	EG23_C_447	EG23_C_159	EG23_C_231	EG23_C_303	EG23_C_411	EG23_C_C001	EG23_C_267	EG23_C_351	
	H	EG23_C_039	EG23_C_063	EG23_C_CN005	EG23_C_135	EG23_C_459	EG23_C_255	EG23_C_279	EG23_C_219	EG23_C_375			EG23_C_CP008
													
EG_PCR_50.03													
Primer plate 3		1	2	3	4	5	6	7	8	9	10	11	12
